"","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum"
"820","Buster's Mal Heart","tt5173032",6.1,8941,"movie","Buster's Mal Heart",0,"2016","\N","96","Crime,Drama,Mystery","",0,"JEANNETTE CATSOULIS","Review: Rami Malek as a Drifter With a Past in ‘Buster’s Mal Heart’","Mr. Malek, of “Mr. Robot,” heads for the hills of Montana as a man fleeing a soul-deadening job and the burdens of modern life.","2017-04-27","2017-04-28","2017-11-02 04:18:27","article","https://www.nytimes.com/2017/04/27/movies/busters-mal-heart-review-rami-malek.html","Read the New York Times Review of Buster's Mal Heart","mediumThreeByTwo210","https://static01.nyt.com/images/2017/04/28/arts/28buster2/28buster2-mediumThreeByTwo210.jpg",140,210,-0.028,0.226421435969889,-0.7
"821","BuyBust","tt5938084",5.8,1674,"movie","BuyBust",0,"2018","\N","127","Action,Crime,Thriller","",0,"JEANNETTE CATSOULIS","Review: ‘BuyBust’ Delivers a Thriller in Manila","An elite narcotics squad has a very bad night in Erik Matti’s violent thriller.","2018-08-09","2018-08-10","2018-08-17 16:44:01","article","https://www.nytimes.com/2018/08/09/movies/buybust-review.html","Read the New York Times Review of BuyBust","mediumThreeByTwo210","https://static01.nyt.com/images/2018/08/07/arts/buybust1/buybust1-mediumThreeByTwo210.jpg",140,210,-0.06,0.308336550819763,-0.9
"822","By Sidney Lumet","tt4664568",7.1,374,"movie","By Sidney Lumet",0,"2015","\N","103","Documentary","",0,"MANOHLA DARGIS","Review: ‘By Sidney Lumet’ Puts the Director in Front of the Camera","The documentary began as a series of interviews shot in 2008 in which the director talks about his life and work.","2016-10-27","2016-10-07","2017-11-02 04:18:25","article","https://www.nytimes.com/2016/10/28/movies/by-sidney-lumet-review.html","Read the New York Times Review of By Sidney Lumet","mediumThreeByTwo210","https://static01.nyt.com/images/2016/10/28/arts/28BYLUMET/28BYLUMET-mediumThreeByTwo210.jpg",140,210,0.00476190476190476,0.119273595050164,0.1
"823","By the Grace of God","tt8095860",7.2,5673,"movie","Grâce à Dieu",0,"2018","\N","137","Drama","",1,"GLENN KENNY","‘By the Grace of God’ Review: A Devastating Film About Survivors of Abuse","The often irreverent French director François Ozon gets serious with a fact-based story about a group of men who were childhood victims of a pedophile priest.","2019-10-17","2019-10-18","2019-11-01 16:44:01","article","https://www.nytimes.com/2019/10/17/movies/by-the-grace-of-god-review.html","Read the New York Times Review of By the Grace of God","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/18/arts/17graceofgod-art/merlin_162489012_de91ad91-3748-445c-b3ea-c3c24e565a96-mediumThreeByTwo210.jpg",140,210,-0.0240740740740741,0.279549902786869,-0.65
"824","Café Society","tt4513674",6.6,72208,"movie","Café Society",0,"2016","\N","96","Comedy,Drama,Romance","PG-13",0,"A. O. SCOTT","Review: ‘Café Society’ Isn’t Woody Allen’s Worst Movie","This ambivalent return to 1930s Hollywood mostly rearranges the director’s old themes. But, overall, it’s an amusing little picture.","2016-07-14","2016-07-15","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/07/15/movies/cafe-society-review-woody-allen.html","Read the New York Times Review of Café Society","mediumThreeByTwo210","https://static01.nyt.com/images/2016/07/15/arts/15CAFESOCIETY/15CAFESOCIETY-mediumThreeByTwo210-v4.jpg",140,210,0.0119047619047619,0.167260845616033,0.25
"825","Cake","tt3442006",6.4,35554,"movie","Cake",0,"2014","\N","102","Drama","R",0,"MANOHLA DARGIS","The Grief Spread Across the Road to Recovery ","Jennifer Aniston plays a woman recovering from a horrific accident in &#8220;Cake,&#8221; a drama directed by Daniel Barnz.","2015-01-22","2015-01-23","2017-11-02 04:18:20","article","https://www.nytimes.com/2015/01/23/movies/cake-stars-jennifer-aniston-as-an-accident-victim.html","Read the New York Times Review of Cake","mediumThreeByTwo210","https://static01.nyt.com/images/2015/01/23/arts/23CAKEALT/23CAKEALT-mediumThreeByTwo210-v2.jpg",140,210,-0.0875,0.247021733542021,-1.75
"826","Cake","tt7715988",7.7,1051,"movie","Cake",0,"2018","\N","125","Drama,Mystery,Romance","R",0,"MANOHLA DARGIS","The Grief Spread Across the Road to Recovery ","Jennifer Aniston plays a woman recovering from a horrific accident in &#8220;Cake,&#8221; a drama directed by Daniel Barnz.","2015-01-22","2015-01-23","2017-11-02 04:18:20","article","https://www.nytimes.com/2015/01/23/movies/cake-stars-jennifer-aniston-as-an-accident-victim.html","Read the New York Times Review of Cake","mediumThreeByTwo210","https://static01.nyt.com/images/2015/01/23/arts/23CAKEALT/23CAKEALT-mediumThreeByTwo210-v2.jpg",140,210,-0.0875,0.247021733542021,-1.75
"827","California Typewriter","tt5966990",7.3,823,"movie","California Typewriter",0,"2016","\N","103","Documentary","",0,"JEANNETTE CATSOULIS","Review: ‘California Typewriter’: Preserving the Past, Key by Key","This documentary directed by Doug Nichol plumbs the depths of devotion to a machine whose day might appear to be over.","2017-08-17","2017-08-18","2017-11-02 04:18:28","article","https://www.nytimes.com/2017/08/17/movies/california-typewriter-review.html","Read the New York Times Review of California Typewriter","mediumThreeByTwo210","https://static01.nyt.com/images/2017/08/17/arts/18calitypewriter-WEB1/18calitypewriter-WEB1-mediumThreeByTwo210.jpg",140,210,0.0380952380952381,0.174574312188794,0.8
"828","Call Her Applebroog","tt5615222",7,7,"movie","Call Her Applebroog",0,"2016","\N","70","Documentary","",1,"GLENN KENNY","Review: ‘Call Her Applebroog,’ Beth B’s Portrait of a Still-Vital Artist","Beth B, Ida Applebroog’s daughter, takes an intimate look at the artist’s drawings, paintings and emphatic engagement with others.","2016-06-09","2016-06-10","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/06/10/movies/review-call-her-applebroog-beth-bs-portrait-of-a-still-vital-artist.html","Read the New York Times Review of Call Her Applebroog","mediumThreeByTwo210","https://static01.nyt.com/images/2016/06/10/arts/10CALLHERAPPLEBROOG/10CALLHERAPPLEBROOG-mediumThreeByTwo210.jpg",140,210,0.0690476190476191,0.21591444513753,1.45
"829","Call Her Ganda","tt7288562",5.9,154,"movie","Call Her Ganda",0,"2018","\N","93","Documentary","",0,"Ken Jaworowski","Review: ‘Call Her Ganda’ Explores the Murder of a Transgender Woman","The documentary looks at the sadness and outrage caused by the 2014 killing of Jennifer Laude by American Marine Joseph Scott Pemberton in the Philippines.","2018-09-20","2018-09-21","2018-09-28 16:44:01","article","https://www.nytimes.com/2018/09/20/movies/call-her-ganda-review.html","Read the New York Times Review of Call Her Ganda","mediumThreeByTwo210","https://static01.nyt.com/images/2018/09/19/arts/ganda1/ganda1-mediumThreeByTwo210.jpg",140,210,-0.09,0.259004504465334,-2.25
"830","Call Me by Your Name","tt5726616",7.9,220004,"movie","Call Me by Your Name",0,"2017","\N","132","Drama,Romance","R",1,"Manohla Dargis","Review: A Boy’s Own Desire in ‘Call Me by Your Name’","In the latest movie from the Italian director Luca Guadagnino (“I Am Love”), Armie Hammer plays a visiting student who falls for his host’s teenage son.","2017-11-22","2017-11-24","2017-12-22 17:44:01","article","https://www.nytimes.com/2017/11/22/movies/call-me-by-your-name-review-armie-hammer.html","Read the New York Times Review of Call Me by Your Name","mediumThreeByTwo210","https://static01.nyt.com/images/2017/11/24/arts/24callmeby-web2/24callmeby-web2-mediumThreeByTwo440.jpg",140,210,0.0277777777777778,0.160128153805087,0.75
"831","Call Me Kuchu","tt2088714",7.6,753,"movie","Call Me Kuchu",0,"2012","\N","87","Documentary,Drama","",1,"STEPHEN HOLDEN","Where Being Gay Is a Life-and-Death Struggle","The documentary “Call Me Kuchu” chronicles the struggles of the gay rights movement in Uganda, and its prime mover, David Kato, who was bludgeoned to death in January 2011.","2013-06-13","2013-06-14","2017-11-02 04:18:17","article","https://www.nytimes.com/2013/06/14/movies/fighting-ugandas-anti-homosexuality-bill-in-call-me-kuchu.html","Read the New York Times Review of Call Me Kuchu","mediumThreeByTwo210","https://static01.nyt.com/images/2013/06/14/arts/14CALLME2/CALLME1-mediumThreeByTwo210.jpg",140,210,-0.0396551724137931,0.166572222830576,-1.15
"832","Call Me Lucky","tt3899932",7.6,1972,"movie","Call Me Lucky",0,"2015","\N","106","Biography,Comedy,Documentary","",0,"STEPHEN HOLDEN","Review: &#8216;Call Me Lucky,&#8217; About the Comedian-Activist Barry Crimmins","Bobcat Goldthwait&#8217;s documentary about his mentor chronicles the work he has done not only as a comic but also to rid the Internet of child pornography.","2015-08-06","2015-08-07","2017-11-02 04:18:22","article","https://www.nytimes.com/2015/08/07/movies/review-call-me-lucky-about-the-comedian-activist-barry-crimmins.html","Read the New York Times Review of Call Me Lucky","mediumThreeByTwo210","https://static01.nyt.com/images/2015/08/07/arts/07CALLMELUCKY/07CALLMELUCKY-mediumThreeByTwo210.jpg",140,210,0.0410714285714286,0.216475801157479,1.15
"833","Cam","tt8361028",5.9,27574,"movie","Cam",0,"2018","\N","94","Drama,Horror,Mystery","",0,"JEANNETTE CATSOULIS","‘Cam’ Review: The Techno-Perils of Online Performance","An online sex worker has her identity hijacked in this unusual techno-thriller with an oddly feminist twist.","2018-11-15","2018-11-16","2018-11-23 17:44:01","article","https://www.nytimes.com/2018/11/15/movies/cam-review.html","Read the New York Times Review of Cam","mediumThreeByTwo210","https://static01.nyt.com/images/2018/11/14/arts/cam1/cam1-mediumThreeByTwo210.jpg",140,210,-0.0555555555555556,0.20065253028182,-1
