"","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum"
"2614","Manhattan Night","tt3100274",6.2,11949,"movie","Manhattan Nocturne",0,"2016","\N","113","Crime,Drama,Mystery","R",0,"STEPHEN HOLDEN","Review: In ‘Manhattan Night,’ Adrien Brody Navigates an Urban Underbelly","Starring Adrien Brody as a tabloid columnist, this film deploys conventions evoking “Chinatown” and older classics but ends up feeling prosaic.","2016-05-19","2016-05-20","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/05/20/movies/-manhattan-night-review-adrien-brody.html","Read the New York Times Review of Manhattan Night","mediumThreeByTwo210","https://static01.nyt.com/images/2016/05/20/arts/20MANHATTAN/20MANHATTAN-mediumThreeByTwo210-v2.jpg",140,210,0.05,0.180277563773199,1.05
"2615","Manifesto","tt4877908",5.7,6,"movie","Manifesto",0,"2015","\N","80","Drama","",1,"GLENN KENNY","Review: Cate Blanchett in ‘Manifesto,’ a Cerebral Exercise","Julian Rosefeldt’s art installation is now a film, with this chameleonic actress morphing into multiple characters.","2017-05-09","2017-05-10","2017-11-02 04:18:27","article","https://www.nytimes.com/2017/05/09/movies/manifesto-review-cate-blanchett.html","Read the New York Times Review of Manifesto","mediumThreeByTwo210","https://static01.nyt.com/images/2017/05/10/arts/10MANIFESTO1/10MANIFESTO1-mediumThreeByTwo210-v2.jpg",140,210,0.0352941176470588,0.1455213750218,0.6
"2616","Manifesto","tt1831672",6.8,6,"movie","Hollow Oaks",0,"2011","\N","84","Drama,Thriller","",1,"GLENN KENNY","Review: Cate Blanchett in ‘Manifesto,’ a Cerebral Exercise","Julian Rosefeldt’s art installation is now a film, with this chameleonic actress morphing into multiple characters.","2017-05-09","2017-05-10","2017-11-02 04:18:27","article","https://www.nytimes.com/2017/05/09/movies/manifesto-review-cate-blanchett.html","Read the New York Times Review of Manifesto","mediumThreeByTwo210","https://static01.nyt.com/images/2017/05/10/arts/10MANIFESTO1/10MANIFESTO1-mediumThreeByTwo210-v2.jpg",140,210,0.0352941176470588,0.1455213750218,0.6
"2617","Manifesto","tt4511200",6.6,6059,"movie","Manifesto",0,"2015","\N","95","Drama","",1,"GLENN KENNY","Review: Cate Blanchett in ‘Manifesto,’ a Cerebral Exercise","Julian Rosefeldt’s art installation is now a film, with this chameleonic actress morphing into multiple characters.","2017-05-09","2017-05-10","2017-11-02 04:18:27","article","https://www.nytimes.com/2017/05/09/movies/manifesto-review-cate-blanchett.html","Read the New York Times Review of Manifesto","mediumThreeByTwo210","https://static01.nyt.com/images/2017/05/10/arts/10MANIFESTO1/10MANIFESTO1-mediumThreeByTwo210-v2.jpg",140,210,0.0352941176470588,0.1455213750218,0.6
"2618","Manny","tt1778931",7.1,2182,"movie","Manny",0,"2014","\N","88","Biography,Documentary,Sport","PG-13",0,"BEN KENIGSBERG","Sparring in the Boxing Ring, in Politics and in Life ","The documentary &#8220;Manny&#8221; is the story of Manny Pacquiao, a tiny Filipino boxer who emerged as a champion, a congressman and a natural showman.","2015-01-22","2015-01-23","2017-11-02 04:18:20","article","https://www.nytimes.com/2015/01/23/movies/manny-pacquiao-the-boxer-is-the-focus-of-a-documentary.html","Read the New York Times Review of Manny","mediumThreeByTwo210","https://static01.nyt.com/images/2015/01/23/arts/23MANNY/MANNY-mediumThreeByTwo210.jpg",140,210,0.0423076923076923,0.150128150386467,1.1
"2619","Manolo: The Boy Who Made Shoes for Lizards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"JON CARAMANICA","Review: Watch Manolo Blahnik Make Famous Friends — and Shoes","A new documentary about the famed designer could use more of the shoes for which he’s renowned.","2017-09-14","2017-09-15","2017-11-02 04:18:28","article","https://www.nytimes.com/2017/09/14/movies/manolo-blahnik-documentary-review.html","Read the New York Times Review of Manolo: The Boy Who Made Shoes for Lizards","mediumThreeByTwo210","https://static01.nyt.com/images/2017/09/15/arts/15manolo/15manolo-mediumThreeByTwo210.jpg",140,210,0.15,0.295555309843133,2.7
"2620","Manos Sucias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"JEANNETTE CATSOULIS","Review: In ‘Manos Sucias,’ Brothers Reconnect on a Drug Run","In this Josef Kubota Wladyka film, two Colombian brothers with a cargo of cocaine reconnect during a trip along the Pacific Coast.","2015-04-02","2015-04-03","2017-11-02 04:18:21","article","https://www.nytimes.com/2015/04/03/movies/review-in-manos-sucias-brothers-reconnect-on-a-drug-run.html","Read the New York Times Review of Manos Sucias","mediumThreeByTwo210","https://static01.nyt.com/images/2015/04/03/arts/03MANOS/03MANOS-mediumThreeByTwo210.jpg",140,210,0.0159090909090909,0.140903854112995,0.35
"2621","Mao's Last Dancer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PG",0,"MIKE HALE","New to America, Discovering Its Glitter","Chi Cao plays the dancer Li Cunxin, who defected from China and moved to Houston, in this adaptation of his memoir, directed by Bruce Beresford.","2010-08-19","2010-10-01","2017-11-02 04:18:12","article","https://www.nytimes.com/2010/08/20/movies/20mao.html","Read the New York Times Review of Mao's Last Dancer","","",NA,NA,0,0,0
"2622","Maps to the Stars","tt2172584",6.2,38543,"movie","Maps to the Stars",0,"2014","\N","111","Comedy,Drama","R",0,"A. O. SCOTT","Review: David Cronenberg Dissects Hollywood in ‘Maps to the Stars’","The film imagines Los Angeles as an inferno of narcissism, greed and sexual perversity.","2015-02-26","2015-02-27","2017-11-02 04:18:20","article","https://www.nytimes.com/2015/02/27/movies/review-david-cronenberg-dissects-hollywood-in-maps-to-the-stars.html","Read the New York Times Review of Maps to the Stars","mediumThreeByTwo210","https://static01.nyt.com/images/2015/02/27/arts/27MAPJP1/27MAPJP1-mediumThreeByTwo210.jpg",140,210,-0.178571428571429,0.372473171834246,-2.5
"2623","Marauders","tt3963816",5.5,20543,"movie","Marauders",0,"2016","\N","107","Action,Crime,Thriller","R",0,"GLENN KENNY","Review: Bruce Willis Is a Banker With Issues in ‘Marauders’","In this film, robberies vex Mr. Willis’s character and an F.B.I. agent played by Christopher Meloni.","2016-06-30","2016-07-01","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/07/01/movies/marauders-review-bruce-willis.html","Read the New York Times Review of Marauders","mediumThreeByTwo210","https://static01.nyt.com/images/2016/06/01/movies/video-marauders/video-marauders-mediumThreeByTwo210-v2.jpg",140,210,-0.0526315789473684,0.229415733870562,-1
"2624","Marguerite","tt4428788",7,5002,"movie","Marguerite",0,"2015","\N","129","Comedy,Drama,Music","R",1,"STEPHEN HOLDEN","Review: ‘Marguerite,’ a Screeching Diva Clinging to Her Operatic Dream","Xavier Giannoli’s comedy, inspired by the life of the talentless American socialite Florence Foster Jenkins, stars Catherine Frot as an aspiring singer.","2016-03-10","2016-03-11","2017-11-02 04:18:23","article","https://www.nytimes.com/2016/03/11/movies/marguerite-review.html","Read the New York Times Review of Marguerite","mediumThreeByTwo210","https://static01.nyt.com/images/2016/03/11/arts/11MARGUERITE/11MARGUERITE-mediumThreeByTwo210-v2.jpg",140,210,0.0869565217391304,0.245513095051765,2
"2625","Marguerite & Julien","tt4428800",5,896,"movie","Marguerite et Julien",0,"2015","\N","105","Drama,History,Romance","",0,"GLENN KENNY","Review: ‘Marguerite &amp; Julien,’ a Tale of Siblings in Love","Valérie Donzelli’s film transposes the factually based, centuries-old story of incestuous French lovers to a not-quite-modern setting.","2016-02-25","2016-02-26","2017-11-02 04:18:23","article","https://www.nytimes.com/2016/02/26/movies/review-marguerite-julien-a-tale-of-siblings-in-love.html","Read the New York Times Review of Marguerite & Julien","mediumThreeByTwo210","https://static01.nyt.com/images/2016/02/26/arts/26MARGUERITE/26MARGUERITE-mediumThreeByTwo210.jpg",140,210,-0.00714285714285714,0.266592251521736,-0.15
"2626","Maria by Callas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PG",1,"BEN KENIGSBERG","Review: Demystifying a Diva in ‘Maria by Callas’","The film proposes a corrective to the notion that Callas was a diva both onstage and off.","2018-11-01","2018-11-02","2018-12-01 17:44:01","article","https://www.nytimes.com/2018/11/01/movies/maria-by-callas-review.html","Read the New York Times Review of Maria by Callas","mediumThreeByTwo210","https://static01.nyt.com/images/2018/11/02/arts/02mariaby/02mariaby-mediumThreeByTwo210-v2.jpg",140,210,0,0,0
"2627","Marianne & Leonard: Words of Love","tt9358196",6.9,1433,"movie","Marianne & Leonard: Words of Love",0,"2019","\N","102","Biography,Documentary,Music","R",1,"GLENN KENNY","‘Marianne & Leonard’ Review: An Emotionally Complex Story of a Poet and His Muse","Nick Broomfield’s remarkable documentary explores the love between Leonard Cohen and Marianne Ihlen.","2019-07-04","2019-07-05","2019-08-04 16:44:02","article","https://www.nytimes.com/2019/07/04/movies/marianne-and-leonard-words-of-love-review.html","Read the New York Times Review of Marianne & Leonard: Words of Love","mediumThreeByTwo210","https://static01.nyt.com/images/2019/07/05/arts/04marianne/04marianne-mediumThreeByTwo210.jpg",140,210,0.107142857142857,0.272352389700961,1.5
"2628","Marie Curie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"KEN JAWOROWSKI","Review: ‘Marie Curie’ Recalls a Beautiful Mind and Tough Life","This biopic, starring Karolina Gruszka, highlights about six years in the life of the Nobel Prize-winning scientist.","2017-06-29","2017-06-30","2017-11-02 04:18:27","article","https://www.nytimes.com/2017/06/29/movies/marie-curie-review.html","Read the New York Times Review of Marie Curie","mediumThreeByTwo210","https://static01.nyt.com/images/2017/06/30/arts/30MARIECURIE/30MARIECURIE-mediumThreeByTwo210-v3.jpg",140,210,0.163888888888889,0.332462096714248,2.95
"2629","Marinoni: The Fire in the Frame","tt4058750",8,25,"movie","Marinoni: The Fire in the Frame",0,"2015","\N","90","Documentary","",0,"DANIEL M. GOLD","Review: In ‘Marinoni,’ a Racing Champion Turned Bicycle Craftsman","This documentary follows Giuseppe Marinoni, 75, as he travels from his adopted home in Canada to Italy to compete for a speed record in his age group.","2016-03-31","2016-04-01","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/04/01/movies/marinoni-review.html","Read the New York Times Review of Marinoni: The Fire in the Frame","mediumThreeByTwo210","https://static01.nyt.com/images/2016/04/01/arts/01MARINONI/01MARINONI-mediumThreeByTwo210-v2.jpg",140,210,0.0148148148148148,0.0769800358919501,0.4
"2630","Marius","tt1872102",6.8,1011,"movie","Marius",0,"2013","\N","93","Drama","Not Rated",0,"BEN KENIGSBERG","Wanderlust as the Enemy of Love","Daniel Auteuil has brought “Marius,” the first part of a trilogy by Marcel Pagnol, back to the screen in a remake, with two more films to follow.","2014-07-03","2014-07-04","2017-11-02 04:18:19","article","https://www.nytimes.com/2014/07/04/movies/marius-based-on-a-marcel-pagnol-play.html","Read the New York Times Review of Marius","mediumThreeByTwo210","https://static01.nyt.com/images/2014/07/04/arts/04MARIUS/MARIUS-mediumThreeByTwo210.jpg",140,210,0,0,0
"2631","Mark Felt: The Man Who Brought Down the White House","tt5175450",6.4,12149,"movie","Mark Felt: The Man Who Brought Down the White House",0,"2017","\N","103","Biography,Drama,History","PG-13",0,"A.O. SCOTT","Review: In ‘Mark Felt,’ Liam Neeson Is the Man Known as Deep Throat","Peter Landesman’s accidentally timely Watergate procedural has men in suits fighting for the independence of the F.B.I.","2017-09-28","2017-09-29","2017-11-02 04:18:28","article","https://www.nytimes.com/2017/09/28/movies/mark-felt-the-man-who-brought-down-the-white-house-review-liam-neeson.html","Read the New York Times Review of Mark Felt: The Man Who Brought Down the White House","mediumThreeByTwo210","https://static01.nyt.com/images/2017/09/29/arts/29markfelt/29markfelt-mediumThreeByTwo210.jpg",140,210,-0.005,0.3153527682153,-0.1
"2632","Marmaduke","tt1392197",4.3,14484,"movie","Marmaduke",0,"2010","\N","99","Animation,Comedy,Family","PG",0,"STEPHEN HOLDEN","A Big Cartoon Dog Tries the O.C.","Can Marmaduke make new friends in California?","2010-06-03","2010-06-04","2017-11-02 04:18:11","article","https://www.nytimes.com/2010/06/04/movies/04marmaduke.html","Read the New York Times Review of Marmaduke","","",NA,NA,0.114285714285714,0.302371578407382,0.8
"2633","Marriage Story","tt7653254",7.9,255202,"movie","Marriage Story",0,"2019","\N","137","Comedy,Drama,Romance","R",1,"A.O. Scott","‘Marriage Story’ Review: Dance Me to the End of Love","Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.","2019-11-05","2019-12-06","2019-12-05 17:44:01","article","https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html","Read the New York Times Review of Marriage Story","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/05/arts/05marriage1/05marriage1-mediumThreeByTwo210-v2.jpg",140,210,-0.0441176470588235,0.333486484424958,-0.75
"2634","Mars","tt1109488",6,364,"movie","Mars",0,"2010","\N","90","Animation,Comedy,Sci-Fi","",0,"JEANNETTE CATSOULIS","An Animated Space Odyssey","Geoff Marslett offers a low-key animated space odyssey in “Mars.”","2010-12-02","2010-12-03","2017-11-02 04:18:12","article","https://www.nytimes.com/2010/12/03/movies/03mars.html","Read the New York Times Review of Mars","","",NA,NA,0.0363636363636364,0.120604537831105,0.4
"2635","Mars at Sunrise","tt2714424",7.8,28,"movie","Mars at Sunrise",0,"2014","\N","75","Drama","",0,"JEANNETTE CATSOULIS","Dreamscapes of a Nightmarish Conflict","Jessica Habie’s “Mars at Sunrise” distills the Israeli-Palestinian conflict to a single duel.","2014-02-06","2014-02-07","2017-11-02 04:18:18","article","https://www.nytimes.com/2014/02/07/movies/mars-at-sunrise-directed-by-jessica-habie.html","Read the New York Times Review of Mars at Sunrise","mediumThreeByTwo210","https://static01.nyt.com/images/2014/02/07/arts/07RDP_MARS_SPAN/MARS-mediumThreeByTwo210.jpg",140,210,-0.0266666666666667,0.310452818284763,-0.4
"2636","Mars Needs Moms","tt1305591",5.4,21295,"movie","Mars Needs Moms",0,"2011","\N","88","Action,Adventure,Animation","PG",0,"MIKE HALE","Mars, Moms and More","Mars, once again, looks to Earth to supplement its female population because, it seems, the women who run Mars think Earth mothers are skilled at child rearing.","2011-03-10","2011-03-11","2017-11-02 04:18:12","article","https://www.nytimes.com/2011/03/11/movies/mars-needs-moms-review.html","Read the New York Times Review of Mars Needs Moms","","",NA,NA,0.0555555555555556,0.162512326948624,1.5
"2637","Marshall","tt5301662",7.3,21473,"movie","Marshall",0,"2017","\N","118","Biography,Crime,Drama","PG-13",0,"Manohla Dargis","Review: In ‘Marshall,’ a Legal Pioneer Gives History a Shove","Reginald Hudlin’s movie about the crusading lawyer and Supreme Court Justice Thurgood Marshall smartly keeps the focus tight.","2017-10-12","2017-10-13","2017-11-12 17:44:02","article","https://www.nytimes.com/2017/10/12/movies/marshall-review-chadwick-boseman.html","Read the New York Times Review of Marshall","mediumThreeByTwo210","https://static01.nyt.com/images/2017/10/13/arts/13marshall-web/13marshall-web-mediumThreeByTwo210.jpg",140,210,0.139473684210526,0.328540098756952,2.65
"2638","Martyrs","tt1934331",5.5,11,"movie","Martyrs",0,"2011","\N","\N","Adventure,Animation,History","Not Rated",0,"JEANNETTE CATSOULIS","Review: ‘Martyrs,’ a Slashing Remake, Centers on Two Friends","This film features women caught up in revenge, torture and the supernatural.","2016-01-21","2016-01-22","2017-11-02 04:18:23","article","https://www.nytimes.com/2016/01/22/movies/martyrs-review.html","Read the New York Times Review of Martyrs","mediumThreeByTwo210","https://static01.nyt.com/images/2016/01/22/arts/martyrs1/martyrs1-mediumThreeByTwo210.jpg",140,210,-0.2,0.390803368367358,-2.4
"2639","Martyrs","tt1663655",4,5496,"movie","Martyrs",0,"2015","\N","86","Drama,Horror,Thriller","Not Rated",0,"JEANNETTE CATSOULIS","Review: ‘Martyrs,’ a Slashing Remake, Centers on Two Friends","This film features women caught up in revenge, torture and the supernatural.","2016-01-21","2016-01-22","2017-11-02 04:18:23","article","https://www.nytimes.com/2016/01/22/movies/martyrs-review.html","Read the New York Times Review of Martyrs","mediumThreeByTwo210","https://static01.nyt.com/images/2016/01/22/arts/martyrs1/martyrs1-mediumThreeByTwo210.jpg",140,210,-0.2,0.390803368367358,-2.4
"2640","Marwencol","tt1391092",7.6,3438,"movie","Marwencol",0,"2010","\N","82","Biography,Documentary,Fantasy","",1,"JEANNETTE CATSOULIS","Model Town as Safe Haven","Jeff Malmberg’s “Marwencol” shows how an artist recovering from an assault uses a fantasy world to heal himself.","2010-10-07","2010-10-08","2017-11-02 04:18:12","article","https://www.nytimes.com/2010/10/08/movies/08marwencol.html","Read the New York Times Review of Marwencol","","",NA,NA,0.0578947368421053,0.30471441907626,1.1
"2641","Mary","tt5834854",4.4,3210,"movie","Mary",0,"2019","\N","84","Horror,Mystery","R",0,"JEANNETTE CATSOULIS","‘Mary’ Review: Death and the Maiden (Voyage)","Recycled scares and a slew of visual clichés trap Emily Mortimer and Gary Oldman in this standard-issue possession tale.","2019-10-10","2019-10-11","2019-10-18 16:44:01","article","https://www.nytimes.com/2019/10/10/movies/mary-review.html","Read the New York Times Review of Mary","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/08/arts/mary-1/mary-1-mediumThreeByTwo210.jpg",140,210,-0.025,0.111803398874989,-0.5
"2642","Mary","tt1667457",2.8,16,"movie","Mary",0,"2010","\N","63","Horror","R",0,"JEANNETTE CATSOULIS","‘Mary’ Review: Death and the Maiden (Voyage)","Recycled scares and a slew of visual clichés trap Emily Mortimer and Gary Oldman in this standard-issue possession tale.","2019-10-10","2019-10-11","2019-10-18 16:44:01","article","https://www.nytimes.com/2019/10/10/movies/mary-review.html","Read the New York Times Review of Mary","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/08/arts/mary-1/mary-1-mediumThreeByTwo210.jpg",140,210,-0.025,0.111803398874989,-0.5
"2643","Mary and the Witch's Flower","tt6336356",6.8,12472,"movie","Meari to majo no hana",0,"2017","\N","103","Adventure,Animation,Family","PG",0,"A.O. SCOTT","Review: ‘Mary and the Witch’s Flower’ Chases a Girl and Her Broomstick","A charming children’s entertainment with hints of Miyazaki and “Harry Potter.”","2018-01-18","2018-01-19","2018-01-18 12:04:03","article","https://www.nytimes.com/2018/01/18/movies/mary-and-the-witchs-flower-review.html","Read the New York Times Review of Mary and the Witch's Flower","mediumThreeByTwo210","https://static01.nyt.com/images/2018/01/19/arts/19maryandthewitch-sub/19maryandthewitch-mediumThreeByTwo210.jpg",140,210,0.15,0.35290998079603,1.8
"2644","Mary Magdalene","tt5360996",5.9,8902,"movie","Mary Magdalene",0,"2018","\N","120","Biography,Drama","R",0,"GLENN KENNY","‘Mary Magdalene’ Review: A Revision in Need of Revision","Mary Magdalene’s reputation as a temptress is set aside in Garth Davis’s revisionist depiction of her life as a follower of Jesus.","2019-04-11","2019-04-12","2019-04-19 16:44:02","article","https://www.nytimes.com/2019/04/11/movies/mary-magdalene-review.html","Read the New York Times Review of Mary Magdalene","mediumThreeByTwo210","https://static01.nyt.com/images/2019/04/11/arts/11marymagdalene2/merlin_152990022_98f3907a-abe6-424c-95aa-84cefb23fb11-mediumThreeByTwo210.jpg",140,210,0,0,0
"2645","Mary Poppins Returns","tt5028340",6.7,78551,"movie","Mary Poppins Returns",0,"2018","\N","130","Animation,Comedy,Family","PG",0,"MANOHLA DARGIS","‘Mary Poppins Returns’ Review: A Truck Full of Sugar Can’t Make This Uplift Go Down","In this charmless follow-up to the 1964 film, Mary Poppins is back to take matters firmly in hand. There will be discipline, and song.","2018-12-18","2018-12-19","2019-01-18 17:44:01","article","https://www.nytimes.com/2018/12/18/movies/mary-poppins-returns-review.html","Read the New York Times Review of Mary Poppins Returns","mediumThreeByTwo210","https://static01.nyt.com/images/2018/12/19/arts/marypoppins1-promo/marypoppins1-promo-mediumThreeByTwo210-v2.jpg",140,210,-0.034,0.128062484748657,-0.85
"2646","Mary Queen of Scots","tt1555069",5.4,857,"movie","Mary Queen of Scots",0,"2013","\N","119","Biography,Drama,History","R",0,"A.O. SCOTT","‘Mary Queen of Scots’ Review: Sexy, Spirited and Almost Convincing","Saoirse Ronan is the doomed Scottish queen, and Margot Robbie is her cousin Elizabeth I in this vigorously revisionist historical drama.","2018-12-06","2018-12-07","2019-01-06 17:44:01","article","https://www.nytimes.com/2018/12/06/movies/mary-queen-of-scots-review.html","Read the New York Times Review of Mary Queen of Scots","mediumThreeByTwo210","https://static01.nyt.com/images/2018/12/07/arts/07maryqueen1/07maryqueen1-mediumThreeByTwo210-v3.jpg",140,210,-0.0595238095238095,0.222271819861992,-1.25
"2647","Mary Queen of Scots","tt2328900",6.3,43648,"movie","Mary Queen of Scots",0,"2018","\N","124","Biography,Drama,History","R",0,"A.O. SCOTT","‘Mary Queen of Scots’ Review: Sexy, Spirited and Almost Convincing","Saoirse Ronan is the doomed Scottish queen, and Margot Robbie is her cousin Elizabeth I in this vigorously revisionist historical drama.","2018-12-06","2018-12-07","2019-01-06 17:44:01","article","https://www.nytimes.com/2018/12/06/movies/mary-queen-of-scots-review.html","Read the New York Times Review of Mary Queen of Scots","mediumThreeByTwo210","https://static01.nyt.com/images/2018/12/07/arts/07maryqueen1/07maryqueen1-mediumThreeByTwo210-v3.jpg",140,210,-0.0595238095238095,0.222271819861992,-1.25
"2648","Mary Shelley","tt3906082",6.4,13623,"movie","Mary Shelley",0,"2017","\N","120","Biography,Drama,History","PG-13",0,"A.O. SCOTT","Review: ‘Mary Shelley’ Twists Pain and Passion Into a Monster","Elle Fanning portrays a writer of, and ahead of, her time as the film traces the origin story of “Frankenstein.”","2018-05-23","2018-05-25","2018-06-22 16:44:01","article","https://www.nytimes.com/2018/05/23/movies/mary-shelley-review-elle-fanning-frankenstein.html","Read the New York Times Review of Mary Shelley","mediumThreeByTwo210","https://static01.nyt.com/images/2018/05/25/arts/25maryshelley/merlin_138359190_7b820a5d-769a-45a7-ae09-fd25157c499e-mediumThreeByTwo210.jpg",140,210,0.04,0.178885438199983,0.8
"2649","Master","tt5735464",6.6,2054,"movie","Ma-seu-teo",0,"2016","\N","143","Action,Crime","",0,"BEN KENIGSBERG","Review: It’s Slick, but ‘Master’ Is No James Bond Movie","The bloat of this routine South Korean crime thriller, directed by Cho Ui-seok, magnifies its generic qualities.","2017-01-05","2017-01-06","2017-11-02 04:18:26","article","https://www.nytimes.com/2017/01/05/movies/master-review.html","Read the New York Times Review of Master","mediumThreeByTwo210","https://static01.nyt.com/images/2017/01/06/arts/06MASTER/06MASTER-mediumThreeByTwo210.jpg",140,210,-0.0694444444444444,0.223039754362633,-1.25
"2650","Master Z: Ip Man Legacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"GLENN KENNY","‘Master Z: Ip Man Legacy’ Review: A Martial Arts Master Roams Free","Several sequels in, the character based on the real-life Ip Man has been so throughly fictionalized that nothing is off-limits. He’s also good fun.","2019-04-11","2019-04-12","2019-04-25 16:44:01","article","https://www.nytimes.com/2019/04/11/movies/master-z-ip-man-legacy-review.html","Read the New York Times Review of Master Z: Ip Man Legacy","mediumThreeByTwo210","https://static01.nyt.com/images/2019/04/11/arts/11masterz/merlin_152984403_b22e2426-d6a2-4eba-82db-b981c5895ec4-mediumThreeByTwo210.jpg",140,210,0.0555555555555556,0.211829636434081,1.5
"2651","Masterminds","tt2461150",5.8,51446,"movie","Masterminds",0,"2016","\N","95","Biography,Comedy,Crime","PG-13",0,"GLENN KENNY","Review: ‘Masterminds,’ a Tale of Grand Larceny and Meager Gray Matter","This comedy from Jared Hess stars Zach Galifianakis as a real-life felon who tried to steal millions of dollars in 1997.","2016-09-29","2016-09-30","2017-11-02 04:18:25","article","https://www.nytimes.com/2016/09/30/movies/masterminds-review-zach-galifianakis.html","Read the New York Times Review of Masterminds","mediumThreeByTwo210","https://static01.nyt.com/images/2016/09/30/arts/30MASTERMINDS/30MASTERMINDS-mediumThreeByTwo210.jpg",140,210,-0.0227272727272727,0.230283093235919,-0.5
"2652","Masterminds","tt1984204",4.9,32,"movie","Masterminds",0,"2012","\N","89","Action,Crime,Drama","PG-13",0,"GLENN KENNY","Review: ‘Masterminds,’ a Tale of Grand Larceny and Meager Gray Matter","This comedy from Jared Hess stars Zach Galifianakis as a real-life felon who tried to steal millions of dollars in 1997.","2016-09-29","2016-09-30","2017-11-02 04:18:25","article","https://www.nytimes.com/2016/09/30/movies/masterminds-review-zach-galifianakis.html","Read the New York Times Review of Masterminds","mediumThreeByTwo210","https://static01.nyt.com/images/2016/09/30/arts/30MASTERMINDS/30MASTERMINDS-mediumThreeByTwo210.jpg",140,210,-0.0227272727272727,0.230283093235919,-0.5
"2653","Matangi/Maya/M.I.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"GLENN KENNY","Review: ‘Matangi/Maya/M.I.A.’ Melds a Rapper’s Music and Activism","From a childhood in Sri Lanka to an appearance in the Super Bowl halftime show, a new documentary explores M.I.A.’s eventful life and career.","2018-09-27","2018-09-28","2018-10-26 16:44:01","article","https://www.nytimes.com/2018/09/27/movies/matangi-maya-mia-review-.html","Read the New York Times Review of Matangi/Maya/M.I.A.","mediumThreeByTwo210","https://static01.nyt.com/images/2018/09/28/arts/28MATANGIPIX/28MATANGIPIX-mediumThreeByTwo210-v2.jpg",140,210,0.0944444444444444,0.238719876606829,2.55
"2654","Match","tt2637378",6.7,2179,"movie","Match",0,"2014","\N","92","Comedy,Drama","R",0,"BEN KENIGSBERG","A Dance Instructor Amid Twists and Reversals","In &#8220;Match,&#8221; Patrick Stewart plays a dance professor at Juilliard who becomes involved in a confrontation with a woman interviewing him for her dissertation and her husband.","2015-01-13","2015-01-14","2017-11-02 04:18:20","article","https://www.nytimes.com/2015/01/14/movies/match-starring-patrick-stewart-as-a-dance-instructor.html","Read the New York Times Review of Match","mediumThreeByTwo210","https://static01.nyt.com/images/2015/01/14/arts/match/match-mediumThreeByTwo210.jpg",140,210,0,0.232992949004287,0
"2655","Match","tt2210809",5.3,712,"movie","Match",0,"2012","\N","117","Drama,History,Sport","R",0,"BEN KENIGSBERG","A Dance Instructor Amid Twists and Reversals","In &#8220;Match,&#8221; Patrick Stewart plays a dance professor at Juilliard who becomes involved in a confrontation with a woman interviewing him for her dissertation and her husband.","2015-01-13","2015-01-14","2017-11-02 04:18:20","article","https://www.nytimes.com/2015/01/14/movies/match-starring-patrick-stewart-as-a-dance-instructor.html","Read the New York Times Review of Match","mediumThreeByTwo210","https://static01.nyt.com/images/2015/01/14/arts/match/match-mediumThreeByTwo210.jpg",140,210,0,0.232992949004287,0
"2656","Match","tt10546234",5.4,5,"movie","Match",0,"2017","\N","\N","Drama","R",0,"BEN KENIGSBERG","A Dance Instructor Amid Twists and Reversals","In &#8220;Match,&#8221; Patrick Stewart plays a dance professor at Juilliard who becomes involved in a confrontation with a woman interviewing him for her dissertation and her husband.","2015-01-13","2015-01-14","2017-11-02 04:18:20","article","https://www.nytimes.com/2015/01/14/movies/match-starring-patrick-stewart-as-a-dance-instructor.html","Read the New York Times Review of Match","mediumThreeByTwo210","https://static01.nyt.com/images/2015/01/14/arts/match/match-mediumThreeByTwo210.jpg",140,210,0,0.232992949004287,0
