"","title","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum","clean_summary"
"21","Dabangg 3","",0,"Rachel Saltz","‘Dabangg 3’ Review: A Hero From the School of Knock ’em Hard","In this Bollywood action flick, Salman Khan is a one-man wrecking crew. When not knocking heads, he dances.","2019-12-22","2019-12-20","2020-01-09 17:44:01","article","https://www.nytimes.com/2019/12/22/movies/dabangg-3-review.html","Read the New York Times Review of Dabangg 3","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/23/arts/22dabangg-pic/22dabangg-pic-mediumThreeByTwo210-v2.jpg",140,210,0.040625,0.320009765475993,0.65,"bollywood action flick salman khan oneman wreck crew knock head danc"
"22","Invisible Life","R",1,"Glenn Kenny","‘Invisible Life’ Review: Sisterhood Is Stronger Than Patriarchy","Two sisters living in 1950s Brazil are kept apart by their father but can’t be spiritually separated.","2019-12-19","2019-12-20","2020-01-19 17:44:02","article","https://www.nytimes.com/2019/12/19/movies/invisible-life-review.html","Read the New York Times Review of Invisible Life","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/20/arts/19invisible1/merlin_165921981_d6d35f3f-0493-4325-8db0-eeb56f76f26a-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"sister live s brazil kept apart father cant spiritu separ"
"23","Togo","PG",0,"Jason Bailey","‘Togo’ Review: A Man, His Dogs and a Very Bad Storm","Willem Dafoe stars in the latest addition to Disney’s sled dog canon.","2019-12-19","2019-12-20","2019-12-19 12:04:02","article","https://www.nytimes.com/2019/12/19/movies/togo-review.html","Read the New York Times Review of Togo","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/10/arts/10disney-togo/10disney-togo-mediumThreeByTwo210-v2.jpg",140,210,0.040625,0.320009765475993,0.65,"willem dafo star addit disney sled dog canon"
"24","She's Missing","",0,"Jeannette Catsoulis","‘She’s Missing’ Review: Gone Girl","An ominous atmosphere of impermanence marks this story of a New Mexico waitress who embarks on a perilous search for her vanished friend.","2019-12-19","2019-12-20","2019-12-19 12:04:03","article","https://www.nytimes.com/2019/12/19/movies/shes-missing-review.html","Read the New York Times Review of She's Missing","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/17/arts/shesmissing1/merlin_165922386_35a6fb5f-f2c8-4202-b7c5-114ce62ea9f4-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"omin atmospher imperman mark stori mexico waitress embark peril search vanish friend"
"25","Cats","PG",0,"Manohla Dargis","‘Cats’ Review: They Dance, They Sing, They Lick Their Digital Fur","Tom Hooper’s movie is not a catastrophe. It’s not even an epic hairball.","2019-12-19","2019-12-20","2020-01-19 17:44:02","article","https://www.nytimes.com/2019/12/18/movies/cats-review.html","Read the New York Times Review of Cats","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/20/arts/00cats-1/00cats-1-mediumThreeByTwo210-v3.jpg",140,210,0.040625,0.320009765475993,0.65,"tom hooper movi catastroph epic hairbal"
"26","Star Wars: The Rise of Skywalker","PG-13",0,"A.O. Scott","‘Star Wars: The Rise of Skywalker’ Review: Revolution No. 9","Resistance is futile. Rey, Finn and Poe are back; so is Kylo Ren. No spoilers here.","2019-12-18","2019-12-20","2020-01-18 17:44:01","article","https://www.nytimes.com/2019/12/18/movies/star-wars-the-rise-of-skywalker-review.html","Read the New York Times Review of Star Wars: The Rise of Skywalker","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/18/arts/18riseofskywalker1/18riseofskywalker1-mediumThreeByTwo210-v2.jpg",140,210,0.040625,0.320009765475993,0.65,"resist futil rey finn poe so kylo ren spoiler"
"27","6 Underground","R",0,"Glenn Kenny","‘6 Underground’ Review: Action by the Numbers","Ryan Reynolds plays a billionaire who’s part Deadpool, part Elon Musk and all Michael Bay hero in this relentless action movie.","2019-12-13","2019-12-13","2019-12-20 17:44:01","article","https://www.nytimes.com/2019/12/13/movies/6-underground-review.html","Read the New York Times Review of 6 Underground","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/11/arts/sixunderground1/sixunderground1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"ryan reynold play billionair whos deadpool elon musk michael bay hero relentless action movi"
"28","Black Christmas","PG-13",0,"Ben Kenigsberg","‘Black Christmas’ Review: Horror for a New Era of Campus Debates","Sophia Takal’s film isn’t particularly scary, but it has plenty on its mind.","2019-12-13","2019-12-13","2020-01-03 17:44:02","article","https://www.nytimes.com/2019/12/12/movies/black-christmas-review.html","Read the New York Times Review of Black Christmas","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/12/arts/blackchristmas1/blackchristmas1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"sophia takal film isnt particular scari plenti mind"
"29","Richard Jewell","R",1,"A.O. Scott","‘Richard Jewell’ Review: The Wrong Man","Clint Eastwood’s take on the frenzied aftermath of the Olympic Park bombing is flawed and fascinating.","2019-12-12","2019-12-13","2020-01-10 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/richard-jewell-review.html","Read the New York Times Review of Richard Jewell","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/13/arts/13Movie-Refer-RichardJewell/13Movie-Refer-RichardJewell-mediumThreeByTwo210-v3.jpg",140,210,0.040625,0.320009765475993,0.65,"clint eastwood frenzi aftermath olymp park bomb flaw fascin"
"30","Uncut Gems","R",1,"Manohla Dargis","‘Uncut Gems’ Review: Adam Sandler’s Punch-Drunk Hustle","In the Safdie brothers’ new movie, Sandler plays a jewelry-store owner and compulsive gambler running for his life.","2019-12-12","2019-12-25","2020-01-12 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/uncut-gems-review.html","Read the New York Times Review of Uncut Gems","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/13/arts/13uncut-1/13uncut-1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"safdi brother movi sandler play jewelrystor owner compuls gambler run life"
